id,FalseSent,TrueSent,ref1,ref2,ref3,OptionA,OptionB,OptionC,label
633,cancer causes smoking,smoking causes cancer,cancer causes death not smoking,Cancer is often caused by smoking.,Smoking is the leading cause of lung cancer,cancer causes death not smoking,smoking and cancer are related to each other,smoking can affect health,0
634,Ryan is calling his mom with the radio.,Ryan is calling his mom on the phone.,Radios don't make phone calls.,You cannot call someone with a radio.,Can not send communications on your radio.,Moms don't own radios.,Radios don't make phone calls.,Ryan's radio is broke.,1
635,A fire can be extinguished using wood.,A fire can be extinguished using water.,"Wood is flammable, and wouldn't put out a fire.",Wood fuels fire,Wood will act as a fuel to a fire.,"Fire can warm you up, wood can't.",A wood box wouldn't hold fire well.,"Wood is flammable, and wouldn't put out a fire.",2
636,The temperature is high in Antarctica.,The temperature is high in Africa.,Antarctica is usually a very cold place.,Antarctica is covered in ice.,Antarctica is cold,Antarctica has a lot of ice all around.,Antarctica is usually a very cold place.,Antarctica is where polar bears are.,1
637,She was eating a chair,She was eating an ice cream,"Ice cream is eatable by human beings, chairs are not",She cannot eat a chair,Chairs are made on inedible materials.,an ice cream is softer than a chair,"Ice cream is eatable by human beings, chairs are not",a chair cannot eat an ice cream,1
638,He ate dinner at a laundry,He ate dinner at a restaurant,A laundry is for washing clothes,"You can not eat at a laundry, as laundry is not a noun.",Laundries don't typically serve food.,Dinner plates are not washed in a laundry,A laundry is for washing clothes,People from laundry also go to restaurant,1
639,To be healthy you should make sure to give someone vegetables everyday.,To be healthy you should make sure to get your vegetables everyday.,"You need to be eating vegetables to be healthy, so you need to get them, not give",Giving some vegetables will not make you healthy.,WHO EAT VEGETABLE THEY ONLY LIVE HEALTHY,People can buy their own vegetables at the store,"You need to be eating vegetables to be healthy, so you need to get them, not give",Many vegetables are not in season all the time.,1
640,The boy happily chewed a piece of glass.,The boy happily chewed a piece of gum.,Glass is too hard to be happily chewed.,glass make a pain when chewed,Glass will cause bleeding if chewed.,Glass is too hard to be happily chewed.,Glass is the material windows are made of.,Most types of glass are transparent.,0
641,She goes flying in the pool.,She goes swimming in the pool.,You can not fly in a pool.,A pool is too small to fly in,People cannot fly.,She swims in a pool that is high and watching airplanes fly.,You can not fly in a pool.,Flying over a swimming pool in a plane she watches people swim from above.,1
642,An opera is a type of party,An opera is a type of entertainment,"There are types of parties, but operas are not generally regarded as a party",An opera is a show,opera is a formal affair where people sit and watch,There can be an opera is a specific party,"There are types of parties, but operas are not generally regarded as a party",You can pay money to enter a party or an opera,1
643,Angela called the commercials because she was at risk,Angela called the police because she was at risk,The commercials cannot help people at risk in any case,Commercials are for buying products.,You can call an entity and a commercial is not an entity.,The commercials and the police can be both called by Angela,The commercials cannot help people at risk in any case,The commercials can call Angela in a risky situation,1
644,We ate a house for lunch.,We ate pizza for lunch.,A house cannot be eaten for lunch.,House is not a food.,Houses are for living in not eating.,"a house is for shelter while lunch is fun while eating with family,",A house cannot be eaten for lunch.,A house cannot eat a family.,1
645,There was an elephant inside the can.,There was a cockroach inside the can.,An elephant is too big to get into a can.,Elephants won't fit in cans,Elephants cannot fit into cans,An elephant is too big to get into a can.,Elephants prefer more spacious environments.,It is not common to see elephants inside cans.,0
646,Part of walking a toaster is cleaning up after them.,Part of walking a dog is cleaning up after them.,Toasters don't need to be walked.,A toaster does not walk.,A toaster doesn't have legs so it can't be walked,"Toasters have a bottom, so you don't have to clean up after them.",The leash wouldn't fit on the toaster.,Toasters don't need to be walked.,2
647,He put an electric fan on painting.,He makes a beautiful painting.,Electric fan cannot be used in painting.,A electric fan is put on a plain surface and is likely to ruin a painting.,Electric fans do not go on paintings.,Electric fan are usually helpful while its a hot season while painting is a hobby.,Electric fan cannot be used in painting.,Electric fan cannot eat painting.,1
648,sun makes the earth cold,sun makes the earth warm,sun is hot and makes the earth warm not cold,The sun is very hot.,the sun provides radiation which heats up earth,sun shines and some parts of the earth are still freezing,sun is so hot but inside my fridge which is on earth is freezing,sun is hot and makes the earth warm not cold,2
649,The boy throws a pig.,The boy throws a football .,"Boys can not throw pigs,",A pig is a live animal and it's not supposed to be thrown,A pig is too heavy for a boy to throw and inhumane,"Boys can not throw pigs,",Boys can throw scraps for pigs to eat.,Pigs can not be thrown by a boy.,0
650,The bar is useful when you have a hygiene issue.,The bathroom is useful when you have a hygiene issue.,You do not go to  bars to adjust a hygiene issue.,bar is not a sacred place to have hygiene,The bar is used when you are thirsty,You do not go to  bars to adjust a hygiene issue.,Bars can can create multiple hygiene issues.,Bathrooms can be place to hide when you are afraid of people.,0
651,My snake enjoys singing in the shower.,My wife enjoys singing in the shower.,Snakes are unable to sing.,The snake cannot sing.,Snakes don't sing,Snakes do not take showers.,Snakes are unable to sing.,A snake cannot hum.,1
652,SHE LOVES TO EAT A BOAT.,SHE LOVES TO EAT CRABS.,A BOAT IS NOT A FOOD.,Boats are made of wood and metal,"Boats are made to travel across water, not to be eaten.",A BOAT CAN FLY IN THE SKY WHILE CRABS CAN TALK.,A CRABS LIVES ON A BOAT.,A BOAT IS NOT A FOOD.,2
653,You can find bricks in a groceries store,You can find chocolate in a groceries store,A groceries store does not sell materials for building a house,Bricks are not food and can't be found at grocery stores,Groceries store sell food but bricks are not food.,A groceries store does not sell materials for building a house,"A brick is not edible, but chocolate is",A groceries store that sells chocolate is made of bricks,0
654,You will find ships at an airport,You will find aircraft at an airport,Ships are found only at sea and seaports,Airports do not have water.,Ships are found in the water,Ships are much larger than aircraft,It is difficult to bring ships to an airport,Ships are found only at sea and seaports,2
655,She died from a finger touch.,She died from a gun shot.,you can not die from someone touching you with a finger.,A finger cannot kill someone,touch does not kill people,you can not die from someone touching you with a finger.,Gun shot causes death all around everyday,She died when gun was used on her .,0
656,You find mouses in a school,You find students in a school,"If there are mouses in a school, they are exterminated immediately to not affect the correct functioning of the school",mouses is a animal,You find students in a school,Mouses are smaller than students,Mouses and students are animals,"If there are mouses in a school, they are exterminated immediately to not affect the correct functioning of the school",2
657,Generally people sleep during day,Generally people sleep during night,Generally people work in day time,Daytime is when people are awake,People are usually awake during the day,There is lesser noise at night,Generally people work in day time,Date changes at 12 midnight,1
658,Being alone is usually very funny for dogs,Going to the park is usually very funny for dogs,Dogs are friendly and like being around people,Dogs do not like to be alone,Dogs do not find humor in being alone.,Dogs like making noise,Dogs are friendly and like being around people,dogs don't like eating,1
659,Raccoons often read picture books.,Children often read picture books.,Raccoons don't actually read books.,Raccoons cant read,Raccoons are wild animals.,Raccoons don't actually read books.,Raccoons can break into garbage cans.,Raccoons are small and furry creatures.,0
660,He went for fishing to a river and caught one tiger,He went for fishing to a river and caught one fish,During fishing one catch only fish,Tigers are big cats and cannot be caught whilst fishing.,A tiger is a land animal and does not live in a river.,Tigers don't allow one to catch them,Tigers don't like to live in river,During fishing one catch only fish,2
661,Golfers play athleticism,Golfers play golf,"The word golfers comes from the game ""golf"" and consequently, can only be used when playing golf",athleticism is a skill/attribute not a sport.,Athletic people are golfers.,Golf and athleticism are sports with human beings,Golf and athleticism are Olympic sports,"The word golfers comes from the game ""golf"" and consequently, can only be used when playing golf",2
662,You can park a truck in a parking lot,You can park a motorbike in a parking lot,Truck usually have got specific parking lots for them,Because truck is too big than motorbike.,You can park a motorbike in a parking lot,Truck usually have got specific parking lots for them,Trucks can be parked as motorbike do,A motorbike is smaller than a truck,0
663,Her favorite hobby is to swim in the skate park.,Her favorite hobby is to swim in the pool.,It's not possible to swim in a skate park.,A skate park does not have water to swim in,You can't swim in a skate park,It's not possible to swim in a skate park.,Skate parks are usually bigger than pools.,Skate parks are usually more crowded than pools.,0
664,He kicked an anvil into the post.,He kicked the ball into the post.,Anvils are not made to play ball.,An anvil is too heavy to kick.,anvil is a heavy iron block,Anvils are of iron and wooden beam.,Anvils cannot play soccer.,Anvils are not made to play ball.,2
665,A cop pointed his gun at a thief and fired a rock,A cop pointed his gun at a thief and fired a bullet,Guns are not used to fire rocks,Rocks cannot be fired from guns,"Guns fire bullets, not rocks.",Guns are not used to fire rocks,A rock is larger than guns,A rocks is not in proper round shape,0
666,There was a mammoth in the zoo.,There was an elephant in the zoo.,Mammoths are extinct.,There cannot be the mammoth in a zoo.,Mammoths are extinct,Mammoths are not found in zoos.,It is not common to see mammoths in zoos.,Mammoths are extinct.,2
667,John drove his car to the moon after dinner,John drove his car to the store after dinner,A person can't drive a car to the moon,Cars cannot fly.,You can not drive a car to the moon,A person can't drive a car to the moon,The moon is grey and a car can also be grey,The moon is much bigger than a car,0
668,all mountains are in river,all rivers are from mountains,river cant occupy mountains,Mountains do not fit in rivers.,Rivers do not contain mountains,river cant occupy mountains,lot of water is collected in mountains,river supply a great quantity of water,0
669,The woman Flies in a box.,The woman Flies in a hot air ballon,You can not fly in boxes.,Boxes are not designed for flight.,When people fly they sit on a chair.,You can not fly in boxes.,Boxes can be a fun pretend for kids to think they fly.,Hot air balloons are the womans favorite activity to do for fun.,0
670,Money is low demand to live.,Money is high demand to live.,Money is essential to live a life.,Most people want more money,how wil lone pay for food and bills if they have no money,Money can create greed in family.,No money means you become homeless eventually.,Money is essential to live a life.,2
671,Doctor arrested the criminal,Police arrested the criminal,Doctor is someone who practice medicine and does not handle crime,Doctors save lives through medicine they don't enforce laws.,Doctors do not arrest people,There are few doctors and many criminals in the city,Doctor uses knife and scissor,Doctor is someone who practice medicine and does not handle crime,2
672,I went to the Cinema to pick up my eye prescription.,I went to the hospital to pick up my eye prescription.,Eye prescription can be gotten from an eye hospital.,Because doctor is not present at Cinema,Cinemas do not give out eye prescriptions,A cinema has an art performing theatre while a hospital has a surgical operating theatre.,A cinema does not employ an eye or any other prescription doctors.,Eye prescription can be gotten from an eye hospital.,2
673,"The last thing you do when you go to see a movie, is buy popcorn.","The last thing you do when you go to see a movie, is go home.",You would not buy popcorn after you have already seen the movie.,The first thing you do when to see movie is to buy popcorn,Popcorn is not something you buy as the last thing when you go to see a movie.,You would not buy popcorn after you have already seen the movie.,Going home is easier to do after a movie.,Buying popcorn makes more sense to do before you see a movie.,0
674,He needs to play hard to pass in the examination,He needs to study hard to pass in the examination,To perform well in the examination he needs to study hard,Playing doesn't help in passing examinations,STUDY ONLY HELP TO PASS THE EXAM NOT PLAY,His examination hall is away from the play ground,He cannot attend examination while playing,To perform well in the examination he needs to study hard,2
675,He filled water in a pen,He filled water in a bottle,Pen is an object used to write and cannot store water,A pen has no place to store water in it.,Water does not belong in a pen,Pen comes in different color and water is colorless,Pen is an object used to write and cannot store water,The cost of pen ranges from cheap to costly,1
676,He cooked a recipe that he has seen on the oven,He cooked a recipe that he has seen on tv,Oven is a cooking device and cannot be used to watch tv show,oven doesn't show recipe,Ovens do not show recipes.,Oven is in kitchen table and kitchen is a small room,Oven is a cooking device and cannot be used to watch tv show,Oven makes noise when turned on and he does not like noise,1
677,The girl ate a diamond.,The girl ate a brigadier.,People can't eat diamonds.,Diamond cannot be eaten.,Diamonds are the hardest things on earth and they have low nutritional value.,Diamonds are transparent and people are fleshy.,People can't eat diamonds.,Diamonds cannot eat brigadiers.,1
678,He put a fly in the fridge.,He put turkey in the fridge.,Flies are smaller than fridges.,Flies carry disease and will spoil food,"Food goes in the fridge, and a fly is not food.",Flies are smaller than fridges.,Flies are black and fridges are white.,Flies cant eat fridges.,0
679,You can drive your car to a boat,You can drive your car to a museum,A car cannot float the sea by itself,"Boats go in the water, while cars do not.",WE CANT DRIVE CAR ON THE WATER,A boat and a museum are places,A car cannot float the sea by itself,A boat cannot drive to a museum,1
680,during war soldiers started texting to enemy,during war soldiers started firing bullets to enemy,at war texting to enemy is foolish thing to do,"Soldiers wouldn't text their opponents they are battling with, they would kill them.",texting is not helping win a war,soldiers text always due to limited access to mobiles,soldiers will always try to convince enemy,at war texting to enemy is foolish thing to do,2
681,His car kept dancing so he brought it in to his mechanic.,His car kept overheating so he brought it in to his mechanic.,A car is an inanimate object and is unable to dance.,A car can not dance,Cars do not dance,A car may be parked in a garage or on the street.,A car is a major purchase for the average person.,A car is an inanimate object and is unable to dance.,2
682,Before driving a car you have to drink a lot of alcohol,Before driving a car you have to get a license.,Drinking alcohol before driving is forbidden and dangerous,Alcohol impairs thinking,ALCOHOL IS INJURIOUS TO OUR HEALTH,Drinking alcohol before driving is forbidden and dangerous,"Drinking alcohol before driving is not enough, you also have to smoke pot.","Drinking alcohol is necessary before doing a lot of things, not just driving.",0
683,We eat dinner in the afternoon,We eat dinner at night,Dinner is generally the last of the meals when there is almost no sun,Dinner time is typically in the evening.,Eating in the afternoon is called lunch,Dinner is generally the last of the meals when there is almost no sun,You can eat a meal in the afternoon but not the dinner,Dinner is the last of the meals after afternoon,0
684,She let her dog drive her car,She let her husband drive her car,A dog cannot drive a car,DOG DOESNOT SUITABLE FOR DRVIE THE CAR,dog does not drive car,A dog has paws and a car has wheels,A dog cannot drive a car,A dog can''t buy a car,1
685,Jhone have a pet tiger,Jhone have a pet cat,Tiger cant be a pet its a wild animal,Tigers are vicious animals and can be very dangerous.,A tiger is to dangerous to have as a pet.,both tiger and cat are carnivorous,tiger have lack strips all over it body,Tiger cant be a pet its a wild animal,2
686,If ou want to sail the sea you need a motorbike,If you want to sail the sea you need a boat,a motorbike sinks in the sea,Motorbikes don't sail the sea,Motorbikes do not sail in water,a motorbike sinks in the sea,a motorbike doesn't have a helm,you cannot go below deck on a motorbike,0
687,You can go for swimming in a basketball court,You can go for swimming in a pool,A basketball court does not have water to swim,BASKETBALL COURT IS FOR PLAYING ONLY NOT FOR SWIMMING,A basketball court is flat and has no water to swim in,A basketball court has two baskets,A basketball court has two nets,A basketball court does not have water to swim,2
688,She went to the beacg to watch a new movie.,She went to the movies to watch a new movie.,New movies are warched at the movies.,New movies are not shown at the beacg,Beach is not a place where you watch a new movie.,You can visit the beach to go to the movies to see the new releases.,The beach is a fun vacation for a summer getaway.,New movies are warched at the movies.,2
689,He was driving the car on the sea,he was driving the car on the road,Car cannot float on water,Cars cannot drive on water,You can not drive on water,Car has four wheels and four doors,Car cannot float on water,Car comes in different color,1
690,Sports are a great way to create people,Sports are a great way to meet new people.,Sports do not create people.,People are created by procreation,sports never create people,People do not like to be made by sports,Sports do not create people.,Meeting people will create sports.,1
691,biting on the computer is easy.,Writing on the computer is easy.,You do not bite the computer.,computer is a machine,The computer is not edible.,Writing on the computer while biting your lip can mean you are anxious.,You do not bite the computer.,Writing about biting issues on the computer can be a fun writing assignment.,1
692,Aliens write books,Women write books,There are no aliens on earth,Aliens don't exist,To date no book on earth has been published with an alien author as far as we know.,Women can have alien behavior towards men,Women and alien have not met yet,There are no aliens on earth,2
693,He killed a man with cotton candy.,He killed a man with a gun.,cotton candy is a soft material which cannot be used as a weapon.,Cotton candy is very soft so wouldn't be able to harm a person.,You can't kill someone with cotton candy.,cotton candy is soft while rock is hard.,cotton candy is a soft material which cannot be used as a weapon.,cotton candy cant lift weights.,1
694,he drank a well of water,he drank a glass of water,a well of water cannot finish,A well of water is too much for a human to drink.,A well has too much water to be drunk,a glass cup is found is in the house while a well is outside,a glass cup is transparent while a  well  is not,a well of water cannot finish,2
695,Classical Music is all about Moshing.,Punk Music is all about Moshing.,You will never mosh during classical music. Defeats the purpose of classical music.,"Generally classical music is reserved and classy, moshing does not fit the atmosphere or demographic of listener.",Classic music is for relaxing,Punk music can be a fun concert event to let a lot of energy out.,Classical music can be incorporated into punk music.,You will never mosh during classical music. Defeats the purpose of classical music.,2
696,Susy cleaned her home with pork grease,Susy cleaned her home with bleach,"Pork grease makes objects dirtier, not cleaner",Pork grease would make her home much more dirty than it was before.,pork grease would make the house even more dirty.,Pork grease doesn't have the same smell as bleach,"Pork grease makes objects dirtier, not cleaner",Pork grease is not liquid,1
697,The golfer went into the golf hole,The golf ball went into the golf hole,The golfer is too big for the hole,A golfer is too big to go in the golf hole.,Because the golfer is too big while the golf hole is small.,golfers are on the golf course,golfer hits the golf ball,The golfer is too big for the hole,2
698,she used stick to cut fish,she used knife to cut fish,with stick fish can not be cut,A stick can't be use to cut a fish.,The stick is not sharp enough to cut things,stick is used to catch fish,fish is available in rivers,with stick fish can not be cut,2
699,Travis rides his cat to school.,Travis rides his bike to school.,House cats are too small to ride.,You cannot ride a cat.,Cats are smaller than humans.,Travis loves his cat and would not ride him.,House cats are too small to ride.,Travis' cat is a boy.,1
700,Everyday he opens his shop and starts throwing dirt on the floor,Everyday he opens his shop and starts writing the current menu on the chalk board.,"When opening the store, he would want the floors as clean as possible",Dirt on the floor would put customers off,throwing dirt on the floor would make his shop dirty and run customers away.,Floors are usually clean and he wanted to change the style and make it dirtier,Customers wouldn't come back to a shop with dirty floors.,"When opening the store, he would want the floors as clean as possible",2
701,Icecream is baked in an Oven.,Cake is baked in an Oven.,Icecream cannot be baked and is made in Freezer.,icecream needs to be cold and melts,Icecream is frozen not baked.,Icecream cannot be baked and is made in Freezer.,Icecream and cake can be stored in Refrigerator.,Icecream and Cake both have same vanilla flavor,0
702,Biker puts liquid in bike tank,Biker puts gasoline in bike tank,Any liquid cannot run the bikes engine,All liquids will no work with a bike tank,Putting in any liquid other than gasoline into the bike tank may destroy the engine.,bike is solid and gasoline is liquid,biker rides the bike and not gasoline.,Any liquid cannot run the bikes engine,2
703,He boiled the petrol to drink,He boiled the water to drink,No one drink petrol,Petrol is toxic,Petrol is not something he can drink.,Petrol tastes bitter,No one drink petrol,Petrol is too costly,1
704,He drives a rocket in the road,He drives a car in the road,Rocket can only fly in the sky,"rockets are not designed for roads, they have no wheels",A rocket can not be driven on a road,Rocket can only fly in the sky,Rockets are bigger so as the roads can be,Cars cannot fly,0
705,Texas is a small state.,"Texas is a large state,",Texas is one of the largest states in the united states.,Texas is a big state,Texas is the second largest state of the USA.,Texas is used to be a large country.,Texas will always have a large population.,Texas is one of the largest states in the united states.,2
706,A plane landed in the garage.,A car parked in the garage.,"Airplanes land at airports, not garages.",planes do only land on airports,A plane cannot land in a structure with a roof.,It is not common to see airplanes landing in garages.,"Airplanes land at airports, not garages.",It is safer for a plane to land at an airport.,1
707,The boat is in the mud.,The boat is in the pond.,A boat should be on the lake.,BOAT NEED WATER TO MOVE,Boats are more often in water.,Boat are used for boating.,A boat should be on the lake.,boats cannot eat mud.,1
708,He cooked sphegatti in his clinic,He cooked sphegatti in his kitchen,Clinics are meant for treatment,there aren't cooking facilities in a clinic,There is no kitchen equipment in a clinic,Clinics are meant for treatment,sphegatti is cooked in the kitchen and treatment is given in clinic,clinics are small for a good treatment,0
709,You must circulate as a pedestrian on the road,You must circulate with your car on the road,There are specific paths for pedestrians in which cars cannot enter,A person does not have wheels to circulate,"Pedestrians use sidewalks, not roads.",There are specific paths for pedestrians in which cars cannot enter,"Cars are driven by humans, and pedestrians are humans",Cars road is wider than a pedestrian path,0
710,He put fish on the chair.,He fell of the chair.,A fish cannot be put on the chair because it has no water.,Fish go in water,fish do not sit on furniture,A fish cannot be put on the chair because it has no water.,Fish lives on water while chairs are one of the basic furniture on the house.,Fish cannot eat chair.,0
711,Bathrooms come equipped with candy canes.,Bathrooms come equipped with mirrors.,Candy canes are not found in bathrooms.,Bathrooms come equipped with mirrors only,Candy canes are useless in a bathroom,"Candy canes are striped, bathrooms are solid colors.","Candy canes are peppermint, and toothpaste is spearmint.",Candy canes are not found in bathrooms.,2
712,Something you will find at a zoo is a Lathe,Something you will find at a zoo is a Giraffe,A lathe is found in machine tool workshops,There is no likehood or finding a Lathe at the zoo.,lathe is a material,A lathe is found in machine tool workshops,A lathe does not move its own,A lathe keeps rotating when operated,0
713,A comb can be used to tape television show.,A video recorder can be used to tape  television show,No one uses comb to record on television.,A comb is for your hair.  It does not have the electronics/ability to tape anything.,A comb has no ability to make recordings and is used to style hair.,No one uses comb to record on television.,Comb is used for hair while television is for entertainment.,A comb is not an electronic item,0
714,Train will leave the airport in ten minutes,Train will leave the railway station in ten minutes,Trains are operated from the railway station,"Airplanes are found at the airport, not trains",An airport doesn't have trains,Trains are longer than aircraft,Trains are operated from the railway station,A train can't enter an airport,1
715,He filled the bathtub with a car,He filled the bathtub with water.,The bathtub is to small for a car.,A car is too big to fit,A car is too big for a bathtub.,The bathtub is to small for a car.,Cars will not float on water,A car cannot hold water,0
716,You can use a table to live in,You can use a house to live in,A person is much bigger than a table,A table to too small to live in,A table cannot be entered.,Table is usually rectangle in shape just like some house,Table is too small for a person,A person is much bigger than a table,2
717,Jack put the stack of buses in his desk,Jack put the stack of cards in his desk,A stack of buses can not fit into a desk,Buses are larger then a desk.,Buses are too large to be stored in a desk.,A stack of buses can not fit into a desk,Buses and a desk are both made of metal,Buses and a desk can both be yellow,0
718,He goes to a bar to do fitness workout,He goes to a gym to do fitness workout,Bars serves alcoholic drinks and food,"There is no fitness equipment at a bar, as bars are used for social gatherings.",Bars don't have exercise equipment,A bar is in the next building of gym,A bar is expensive comparing to a gym,Bars serves alcoholic drinks and food,2
719,My mom turned on the tv like a brick.,My mom turned on the tv with the remote.,Nobody connects a TV with a brick.,A brick cannot connect with TV.,brick is a stone,Bricks are clay while the tv is plastic.,Bricks do not watch TV channels.,Nobody connects a TV with a brick.,2
720,Kerosene is necessary for cultivation,Water is necessary for cultivation,Kerosene is a fuel,kerosene is a oil,Kerosene is not necessary for cultivation.,kerosene is blue in color,Kerosene is a fuel,with kerosene crop will increase,1
721,Jack put his car in the washing machine,Jack put his pants in the washing machine,Cars are not washed in washing machines,Cars do not fit in washing machines,A car is to big to fit in a washing machine.,Cars are not washed in washing machines,Cars and washing machines are made of metal,Cars and washing machines can both be black,0
722,This film was directed by the famous plumber,This film was directed by the famous film director,Plumbing profession is not related to film making and the person who make film is called director,A plumber works on pipes and does not have the ability to direct a film.,A plumber does not direct films.,Plumbing profession is not related to film making and the person who make film is called director,Plumbers wear uniform while working,Plumbers work for daily wages,0
723,He turned on the fan since it was dark,He turned on the light since it was dark,Fan does not illuminate room,The fan would not provide any light.,Fans do not emit light,Fan makes noise,Fan does not illuminate room,Fan has three wings and the room has 4 walls,1
724,He typed 400 words in 10 minutes with his electronic cigarette.,He typed 400 words in 10 minutes with his electronic keyboard.,A cigarette has no typing keys on it.,"Electronic cigarettes don't type things, they are used to smoke tobacco.",You cannot write with a cigarette.  You smoke a cigarette.,An Electronic Keyboard has a rectangular shape while an electronic cigarette has a cylindrical shape.,An electronic cigarette cannot be connected to a computer unlike an electronic keyboard.,A cigarette has no typing keys on it.,2
725,He jumped from the fridge to commit suicide,He jumped from the building to commit suicide,Fridge is too small in height and people will not get killed jumping from fridge,a fridge is not high enough to jump from to commit suicide,A fridge isn't tall enough to jump from,Fridge is too small in height and people will not get killed jumping from fridge,Fridge is too costly to afford,Fridge makes food cool and people eat food,0
726,You can whistle to salute a person formally,You can wave to salute a person formally,The act of whistling is only used in informal cases,"A whistle is not used in formal situations unless, possibly, to get someones attention.",whistle not a format of salute,The act of whistling is only used in informal cases,Whistling and waving can be used to salute a person,Whistling and waving requires your hand,0
727,Making money is silly for any human.,Making money is hardwork for any human.,Making money is not silly because any human living needs money to survive.,Moneys are necessary for living so it's not silly to make them,"Every human needs money,, very important",Making money is not silly because any human living needs money to survive.,Making money can be done at home with a printer.,Printers can create any money from all countries.,0
728,The table sits on the dishes.,The dishes sit on the table.,A table is much larger then dishes.,A table can not sit,The dishes are not usable if they are underneath the table.,Dishes are colorful.,A table is much larger then dishes.,Tables do not eat.,1
729,Death happens when you are breathing but never wake up.,Death happens when you are no longer breathing.,You can not be in death and still breathing.,DEATH DOES NOT HAPPENS ON WITHOUT BREATHING,One cannot breathe after death.,Death can be slow and painful process.,Death can be happening as you slowly are taking you last breathing.,You can not be in death and still breathing.,2
730,The parrot reads a book.,The child reads a book.,Parrot can not read books.,Parrots can talk but not read.,Parrots can't read.,The book is about a parrot who lives in a shoe.,The child has a parrot that can speak on command,Parrot can not read books.,2
731,He wants to become a baby,He wants to become an astronaut,To be become a baby is not possible practically,"He can not grow younger, only older.",A person cannot turn back into a baby,To be become a baby is not possible practically,People love babies very much,Babies are innocent,0
732,cats and fish can be pals,Cats and dogs can be pals,cats will eat the fish,fish doesn't have legs,Fish live in water so cannot play or be pals with cats,cats will eat the fish,Fish love to watch cats in a fish tank and tease teh cats,Dogs can be very loving animals with all animals.,0
733,An ocean is larger then the sun.,An ocean is larger then a puddle.,The sun is much larger then any ocean.,Even the whole earth is much smaller then the sun.,The sun is much larger than any ocean,Both the sun and oceans exist in our solar system.,The sun is much larger then any ocean.,Oceans exist on earth while the sun does not.,1
734,They put monster at the cafe.,They eat at the cafe.,Monster is not allowed inside the cafe.,A monster is an imaginary scary figure often used to spook children.,There are no monsters in this world,Monster eat human while cafe serves foods.,Monster cannot eat cafe.,Monster is not allowed inside the cafe.,2
735,He put worms on his menu.,He put spice on his food.,Worms cannot be put on a menu.,It would be silly to put worms on a menu.,worms should not be on the table,Worms cannot be put on a menu.,Worms usually crawls while menu is a list of foods in a restaurant.,Worms cannot eat menu.,0
736,He went to the grocery store to buy a car.,He went to the grocery store to buy some fruits.,Grocery stores don't sell cars.,Grocery stores don't sell cars,Grocery stores don't typically keep cars in stock.,Grocery stores are too big compared to cars.,Grocery stores don't sell cars.,Grocery stores can't move while cars can.,1
737,He put vinegar into his coffee,He put milk into his coffee,Vinegar does not go in coffee,Vinegar would cause coffee to be sour and not enjoyable.,Vinegar does not go well with coffee,Vinegar does not go in coffee,Both milk and vinegar are liquids,Vinegar is a food,0
738,The President is joker maker.,The President is a decision maker.,The President does not make jokes for a living .,The President doesn't make jokes,The President is typically a serious professional.,The President does not make jokes for a living .,The President probably jokes around with his children on a daily bases.,The President joking as a career would be a massive disaster.,0
739,He closed one eye means he closed both eyes,He closed one eye means he opened the other eye,One has two eyes and one is closed the other one is open,Closing one eye doesn't close both,both eyes are closed,He can close or open any eye any time,He can close both eyes together any time,One has two eyes and one is closed the other one is open,2
740,A sword is a type of knife,A navaja is a type of knife,"It is the other way around, a knife is a small type of sword that is used for a great variety of purposes",A sword is too big to be a knife.,A sword is typically larger than a knife.,A knife is smaller than a sword,A sword and a knife have got a pointing tip,"It is the other way around, a knife is a small type of sword that is used for a great variety of purposes",2
741,He was unhappy in his job and decided to try and find some new kitchen appliances.,He was unhappy in his job and decided to try and find a new place to work.,Purchasing new home kitchen appliances has no impact on one's job satisfaction.,New kitchen appliances is not used to decide whether he was unhappy in his job.,KITCHEN APPLIANCES DOESN'T GIVE JOB,Purchasing new home kitchen appliances has no impact on one's job satisfaction.,Some people may have many jobs in a lifetime and appliances are a big help in the kitchen.,Appliances sometimes have a stainless steel finish and jobs can be difficult to get.,0
742,A television is squared,A television is rectangular,"The television format is 16:9, which is not a square",A television is rectangular,A square is a very inefficient design for a television.,"The television format is 16:9, which is not a square",A rectangle and a square are basic 2D shapes,A rectangle and a square area formula are the same,0
743,Usually people sleep in kitchen,Usually people sleep in bedroom,usually kitchen is used to cooking food,Usually people cook in the kitchen,Kitchens are for cooking and it is not practical to sleep in the kitchen.,people have access to food from kitchen,usually kitchen is used to cooking food,all houses are built with kitchen,1
744,Scientists sent satellite in a car to space,Scientists sent satellite in a rocket to space,Car is a road vehicle and cannot be used for space travel,Cars don't fly,cars travel on earth,Car is a road vehicle and cannot be used for space travel,Car is red in color and satellite is yellow in color,Car gives less mileage,0
745,You will be buying vegetables from the theater,You will be buying vegetables from the market,No one will sell vegetables in a theater,Vegetables are not sold at the theater.,Theaters do not sell vegetables.,No one will sell vegetables in a theater,Staff don't allow to cook vegetables in theater,Vegetable market is near to theater,0
746,A microwave is a communication device,A phone is a communication device,a microwave is not for communication but for heating up meals,Microwave is a home appliances.,Microwaves heat up food to eat.,a microwave is a device that needs electricity,a microwave is not for communication but for heating up meals,you cannot touch communication but you can touch a microwave,1
